concurrent_users,avg_latency,mid_latency
1,23.55633333333333,18.27485
5,23.010333333333335,16.911299999999997
10,24.7457,16.5445
15,27.699683333333336,16.634900000000002
20,33.58853333333334,16.3783
25,31.274040000000003,16.3041
50,16.48635,16.31805
75,16.852200000000003,16.81775
100,17.294400000000003,17.5477
125,17.3196,17.737000000000002
150,17.610466666666667,17.688
